,num,PET,variation,category,orig_text,clean_text,char_count,word_count,text,label,euph_status
403,404,hamileliği sonlandırmak,hamileligini sonlandırmaya,death,ALLAH aşkına kaçımız sadece eşini aynı karede başka bir kadınla gördü diye  gidip hamileligini sonlandırmaya karar verdi .,allah aşkına kaçımız sadece eşini aynı karede başka bir kadınla gördü diye  gidip hamileligini sonlandırmaya karar verdi,120,17,ALLAH aşkına kaçımız sadece eşini aynı karede başka bir kadınla gördü diye  gidip [PET_BOUNDARY]hamileligini sonlandırmaya[PET_BOUNDARY] karar verdi.,1,sometimes_euph
1743,1744,üç harfli,üç harfli,misc.,"dua etmek anlamına gelir. Görülen 3 harflinin hekim, ihsan sahibi, âlim ve hatip olması bundan müstesnadır. Rüyada üç harfli öldürmek yakın zaman içinde maddi ve manevi yönden huzurlu günlere işaretle birlikte rüya sahibinin zamanını",dua etmek anlamına gelir görülen  harflinin hekim ihsan sahibi lim ve hatip olması bundan müstesnadır rüyada üç harfli öldürmek yakın zaman içinde maddi ve manevi yönden huzurlu günlere işaretle birlikte rüya sahibinin zamanını,233,34,"dua etmek anlamına gelir. Görülen 3 harflinin hekim, ihsan sahibi, âlim ve hatip olması bundan müstesnadır. Rüyada [PET_BOUNDARY]üç harfli[PET_BOUNDARY] öldürmek yakın zaman içinde maddi ve manevi yönden huzurlu günlere işaretle birlikte rüya sahibinin zamanını",1,sometimes_euph
1772,1773,üç harfli,üç harfli,misc.,enerji bilimin kuantum fiziği sınırında hiçbir zaman bilimsel hale getirilemeyecek bir konu olabilecektir. Zira üç harfli vs varlıklar eğer varsa bunlar dalga+parçacık düzleminde dalga yapısında olabileceği için ispat edilnmeleri,enerji bilimin kuantum fiziği sınırında hiçbir zaman bilimsel hale getirilemeyecek bir konu olabilecektir zira üç harfli vs varlıklar eğer varsa bunlar dalgaparçacık düzleminde dalga yapısında olabileceği için ispat edilnmeleri,229,29,enerji bilimin kuantum fiziği sınırında hiçbir zaman bilimsel hale getirilemeyecek bir konu olabilecektir. Zira [PET_BOUNDARY]üç harfli[PET_BOUNDARY] vs varlıklar eğer varsa bunlar dalga+parçacık düzleminde dalga yapısında olabileceği için ispat edilnmeleri,1,sometimes_euph
330,331,göğüs,göğüs,physical/mental attributes,"Vodafone Arena ile beraber yeni sezona daha güçlü planları içinde olan Beşiktaş, forma sponsorunu da değiştirecek. Geride kalan sezonda formanın göğüs reklamında Toyota yer alıyordu. Yeni sezonda ise siyah-beyazlıların ana sponsoru olan Vodafone reklamı formada yer alacak. Beşiktaş’ın bu doğrultuda yeni forması da sosyal medyaya sızdı. Klasik çubuklu formanın farklı dizaynı göze çarpmakta. İşte Beşiktaş'ın yeni sezonda giyeceği iddia edilen o forma: (Eurosport)","vodafone arena ile beraber yeni sezona daha güçlü planları içinde olan beşiktaş, forma sponsorunu da değiştirecek. geride kalan sezonda formanın göğüs reklamında toyota yer alıyordu. yeni sezonda ise siyah-beyazlıların ana sponsoru olan vodafone reklamı formada yer alacak. beşiktaş’ın bu doğrultuda yeni forması da sosyal medyaya sızdı. klasik çubuklu formanın farklı dizaynı göze çarpmakta. i̇şte beşiktaş'ın yeni sezonda giyeceği iddia edilen o forma: (eurosport)",466,63,"Vodafone Arena ile beraber yeni sezona daha güçlü planları içinde olan Beşiktaş, forma sponsorunu da değiştirecek. Geride kalan sezonda formanın [PET_BOUNDARY]göğüs[PET_BOUNDARY] reklamında Toyota yer alıyordu. Yeni sezonda ise siyah - beyazlıların ana sponsoru olan Vodafone reklamı formada yer alacak. Beşiktaş’ın bu doğrultuda yeni forması da sosyal medyaya sızdı. Klasik çubuklu formanın farklı dizaynı göze çarpmakta. İşte Beşiktaş'ın yeni sezonda giyeceği iddia edilen o forma: (Eurosport)",0,sometimes_euph
2270,2271,ekonomik,Ekonomik,employment/finances,". Alanında uzman bir firma olarak, sektörün aranan markalarından biri olarak çalışmalarımızı sürdürüyoruz. Ekonomik matbaa konusunda hemen hemen her firmanın ve kurumun ihtiyacı bulunmaktadır. Hacim ya da sektörel ihtiyaç fark",alanında uzman bir firma olarak sektörün aranan markalarından biri olarak çalışmalarımızı sürdürüyoruz ekonomik matbaa konusunda hemen hemen her firmanın ve kurumun ihtiyacı bulunmaktadır hacim ya da sektörel ihtiyaç fark,226,30,". Alanında uzman bir firma olarak, sektörün aranan markalarından biri olarak çalışmalarımızı sürdürüyoruz. [PET_BOUNDARY]Ekonomik[PET_BOUNDARY] matbaa konusunda hemen hemen her firmanın ve kurumun ihtiyacı bulunmaktadır. Hacim ya da sektörel ihtiyaç fark",1,sometimes_euph
1543,1544,abdest bozmak,abdesti bozulmaz,bodily functions,", ayaklarını yıkamak suretiyle abdestli olan kimsenin bu abdesti devam ettiği sürece mestleri çıkarıp giymesiyle abdesti bozulmaz . Mestlerin üzerine meshetmek suretiyle abdestli olup mestlerini çıkaran kimse, sadece ayaklarını yıkayarak",ayaklarını yıkamak suretiyle abdestli olan kimsenin bu abdesti devam ettiği sürece mestleri çıkarıp giymesiyle abdesti bozulmaz  mestlerin üzerine meshetmek suretiyle abdestli olup mestlerini çıkaran kimse sadece ayaklarını yıkayarak,237,30,", ayaklarını yıkamak suretiyle abdestli olan kimsenin bu abdesti devam ettiği sürece mestleri çıkarıp giymesiyle [PET_BOUNDARY]abdesti bozulmaz[PET_BOUNDARY]. Mestlerin üzerine meshetmek suretiyle abdestli olup mestlerini çıkaran kimse, sadece ayaklarını yıkayarak",0,sometimes_euph
2403,2404,düşük gelirli,düşük gelirli,employment/finances,"düşünülüyor. The Atlantic dergisinde Kaveh Waddell, ""Amerika'da en çok gözetim sisteminde tutulanlar düşük gelirli toplumlar"" yazmıştı. Merkezileşen sosyal hizmetlerden faydalananların daha çok dar gelirli kesimler olduğu göz",düşünülüyor the atlantic dergisinde kaveh waddell amerikada en çok gözetim sisteminde tutulanlar düşük gelirli toplumlar yazmıştı merkezileşen sosyal hizmetlerden faydalananların daha çok dar gelirli kesimler olduğu göz,225,27,"düşünülüyor. The Atlantic dergisinde Kaveh Waddell, ""Amerika'da en çok gözetim sisteminde tutulanlar [PET_BOUNDARY]düşük gelirli[PET_BOUNDARY] toplumlar"" yazmıştı. Merkezileşen sosyal hizmetlerden faydalananların daha çok dar gelirli kesimler olduğu göz",1,sometimes_euph
1052,1053,amansız hastalık,amansız hastalığa,illness,", SEÇKİN(Kapanan) Eczanesi sahip ve mesul müdürü değerli meslektaşımız Ecz. Sezai SEÇKİ yakalandığı amansız hastalığa yenik düşerek 29.04.2021 tarihinde vefat etmiş ve defnedilmiştir. Özellikleri: Cihazda göze çarpan özelliklerin",seçkinkapanan eczanesi sahip ve mesul müdürü değerli meslektaşımız ecz sezai seçki yakalandığı amansız hastalığa yenik düşerek  tarihinde vefat etmiş ve defnedilmiştir özellikleri cihazda göze çarpan özelliklerin,229,28,", SEÇKİN(Kapanan) Eczanesi sahip ve mesul müdürü değerli meslektaşımız Ecz. Sezai SEÇKİ yakalandığı [PET_BOUNDARY]amansız hastalığa[PET_BOUNDARY] yenik düşerek 29.04.2021 tarihinde vefat etmiş ve defnedilmiştir. Özellikleri: Cihazda göze çarpan özelliklerin",1,sometimes_euph
66,67,beklemek,beklediğini,bodily functions,"People dergisi, 29 yaşındaki kadın oyuncunun ""Black Swan"" filminin çekimleri sırasında tanıştığı Millepied ile olan ilişkisinden ilk çocuğunu beklediğini belirtti. Fransa'nın Bordeaux kentinde doğan Millepied, New York Balesi'nde başdansçı ve kareograflık yapıyor. Portman, ""Black Swan"" da, teknik mükemmellik takıntısı vücudu ve zihninde ağır bedellere yol açan New Yorklu bir balerini canlandırıyor.","people dergisi, 29 yaşındaki kadın oyuncunun ""black swan"" filminin çekimleri sırasında tanıştığı millepied ile olan ilişkisinden ilk çocuğunu beklediğini belirtti. fransa'nın bordeaux kentinde doğan millepied, new york balesi'nde başdansçı ve kareograflık yapıyor. portman, ""black swan"" da, teknik mükemmellik takıntısı vücudu ve zihninde ağır bedellere yol açan new yorklu bir balerini canlandırıyor.",401,51,"People dergisi, 29 yaşındaki kadın oyuncunun ""Black Swan"" filminin çekimleri sırasında tanıştığı Millepied ile olan ilişkisinden ilk çocuğunu [PET_BOUNDARY]beklediğini[PET_BOUNDARY] belirtti. Fransa'nın Bordeaux kentinde doğan Millepied, New York Balesi'nde başdansçı ve kareograflık yapıyor. Portman, ""Black Swan"" da, teknik mükemmellik takıntısı vücudu ve zihninde ağır bedellere yol açan New Yorklu bir balerini canlandırıyor.",1,sometimes_euph
1225,1226,dört kollu,dört kollu,death,"idi. Sait Faik'in en sevdiği, öykülerine giren kapuçina... Biz de Behçet Necatigil'le oturur piket oynardık. Ya da dört kollu iskambil, kaptıkaçtı... Piketi bana Behçet öğretmişti. Şimdi nasıl oynanır, sorsanız bilemem. Hele beziği o kadar",idi sait faikin en sevdiği öykülerine giren kapuçina biz de behçet necatigille oturur piket oynardık ya da dört kollu iskambil kaptıkaçtı piketi bana behçet öğretmişti şimdi nasıl oynanır sorsanız bilemem hele beziği o kadar,239,34,"idi. Sait Faik'in en sevdiği, öykülerine giren kapuçina... Biz de Behçet Necatigil'le oturur piket oynardık. Ya da [PET_BOUNDARY]dört kollu[PET_BOUNDARY] iskambil, kaptıkaçtı... Piketi bana Behçet öğretmişti. Şimdi nasıl oynanır, sorsanız bilemem. Hele beziği o kadar",0,sometimes_euph
118,119,birlikte olmak,birlikte olduğu,sexual activity,"İstanbul Asayiş Şube Müdürlüğü Ahlak ve Kumar Büro Amirliği ekiplerince Özbek asıllı Enver A. ile Muzaffer N, Recep S. ve Tekin K'nin elebaşı olduğu 2 ayrı fuhuş çetesiyle bağlantısı olduğu iddia edilen eski Antalya Yabancılar Şube Müdürü S.E. ile İstanbul Pasaport Şube Müdürlüğünde görevli polis memuru M.K. yakalandı. S.E'nin, Enver A'nın gönderdiği kadınlara kalacakları ev konusunda yardımcı olduğu, bunun karşılığında kadınlarla birlikte olduğu öne sürüldü.","i̇stanbul asayiş şube müdürlüğü ahlak ve kumar büro amirliği ekiplerince özbek asıllı enver a. ile muzaffer n, recep s. ve tekin k'nin elebaşı olduğu 2 ayrı fuhuş çetesiyle bağlantısı olduğu iddia edilen eski antalya yabancılar şube müdürü s.e. ile i̇stanbul pasaport şube müdürlüğünde görevli polis memuru m.k. yakalandı. s.e'nin, enver a'nın gönderdiği kadınlara kalacakları ev konusunda yardımcı olduğu, bunun karşılığında kadınlarla birlikte olduğu öne sürüldü.",465,65,"İstanbul Asayiş Şube Müdürlüğü Ahlak ve Kumar Büro Amirliği ekiplerince Özbek asıllı Enver A. ile Muzaffer N, Recep S. ve Tekin K'nin elebaşı olduğu 2 ayrı fuhuş çetesiyle bağlantısı olduğu iddia edilen eski Antalya Yabancılar Şube Müdürü S.E. ile İstanbul Pasaport Şube Müdürlüğünde görevli polis memuru M.K. yakalandı. S.E'nin, Enver A'nın gönderdiği kadınlara kalacakları ev konusunda yardımcı olduğu, bunun karşılığında kadınlarla [PET_BOUNDARY]birlikte olduğu[PET_BOUNDARY] öne sürüldü.",1,sometimes_euph
600,601,kaybetmek,kaybolduğunu,death,"Bu data, American Express, NatWest ve RBS'nin bir milyondan fazla müşterisinin hesap ve telefon numaralarının yanı sıra imzalarını da içeriyordu. Gazete, bilgisayarı satın alan kişinin, durumu fark edince derhal yetkililere haber verdiğini yazdı. RBS bankası yetkilileri de olayı doğruladı. İngiltere'de nisan başında da HSBC bankası, 370 bin müşterisiyle ilgili bilgileri içeren bir CD'nin kaybolduğunu açıklamış ve özür dilemişti.","bu data, american express, natwest ve rbs'nin bir milyondan fazla müşterisinin hesap ve telefon numaralarının yanı sıra imzalarını da içeriyordu. gazete, bilgisayarı satın alan kişinin, durumu fark edince derhal yetkililere haber verdiğini yazdı. rbs bankası yetkilileri de olayı doğruladı. i̇ngiltere'de nisan başında da hsbc bankası, 370 bin müşterisiyle ilgili bilgileri içeren bir cd'nin kaybolduğunu açıklamış ve özür dilemişti.",433,58,"Bu data, American Express, NatWest ve RBS'nin bir milyondan fazla müşterisinin hesap ve telefon numaralarının yanı sıra imzalarını da içeriyordu. Gazete, bilgisayarı satın alan kişinin, durumu fark edince derhal yetkililere haber verdiğini yazdı. RBS bankası yetkilileri de olayı doğruladı. İngiltere'de nisan başında da HSBC bankası, 370 bin müşterisiyle ilgili bilgileri içeren bir CD'nin [PET_BOUNDARY]kaybolduğunu[PET_BOUNDARY] açıklamış ve özür dilemişti.",0,sometimes_euph
862,863,vefat etmek,vefat ettiğini,death,"Merkez Dervişpaşa Camisi'ne gelen ve arkadaşı Muharrem Gültekin'in  öldüğünü belirtmesi üzerine, camiden ""sala"" verildi. Bu arada aynı başvuru İslahiye Belediyesi ilan servisine de yapıldı. İslahiye Belediyesi ilan servisi de, ses sistemi aracılığıyla ilçe halkına Muharrem Gültekin'in vefat ettiğini duyurdu. Olayı öğrenen 57 yaşındaki Muharrem Gültekin, yapılanın ""şaka"" olduğunu düşündüğünü, ancak yapanı tespit etmesi halinde davacı olacağını söyledi.","merkez dervişpaşa camisi'ne gelen ve arkadaşı muharrem gültekin'in  öldüğünü belirtmesi üzerine, camiden ""sala"" verildi. bu arada aynı başvuru i̇slahiye belediyesi ilan servisine de yapıldı. i̇slahiye belediyesi ilan servisi de, ses sistemi aracılığıyla ilçe halkına muharrem gültekin'in vefat ettiğini duyurdu. olayı öğrenen 57 yaşındaki muharrem gültekin, yapılanın ""şaka"" olduğunu düşündüğünü, ancak yapanı tespit etmesi halinde davacı olacağını söyledi.",457,57,"Merkez Dervişpaşa Camisi'ne gelen ve arkadaşı Muharrem Gültekin'in  öldüğünü belirtmesi üzerine, camiden ""sala"" verildi. Bu arada aynı başvuru İslahiye Belediyesi ilan servisine de yapıldı. İslahiye Belediyesi ilan servisi de, ses sistemi aracılığıyla ilçe halkına Muharrem Gültekin'in [PET_BOUNDARY]vefat ettiğini[PET_BOUNDARY] duyurdu. Olayı öğrenen 57 yaşındaki Muharrem Gültekin, yapılanın ""şaka"" olduğunu düşündüğünü, ancak yapanı tespit etmesi halinde davacı olacağını söyledi.",1,always_euph
1090,1091,fındık kırmak,fındık kırcağımın,sexual activity,bir güzellikte beni ağırlamıştı. Hemen yatak odasına doğru sürükledi. Ne olduğunu anlamadım ama akşama fındık kırcağımın farkındaydım. Gerçekten haz verici bir yatak sohbeti vardı. Çünkü bana öyle bir yakınlaşıyordu ki kendimi Alp,bir güzellikte beni ağırlamıştı hemen yatak odasına doğru sürükledi ne olduğunu anlamadım ama akşama fındık kırcağımın farkındaydım gerçekten haz verici bir yatak sohbeti vardı çünkü bana öyle bir yakınlaşıyordu ki kendimi alp,230,32,bir güzellikte beni ağırlamıştı. Hemen yatak odasına doğru sürükledi. Ne olduğunu anlamadım ama akşama [PET_BOUNDARY]fındık kırcağımın[PET_BOUNDARY] farkındaydım. Gerçekten haz verici bir yatak sohbeti vardı. Çünkü bana öyle bir yakınlaşıyordu ki kendimi Alp,1,sometimes_euph
1026,1027,aramızdan ayrıldı,aramızdan ayrılan,death,"684021	Okul Müdürü Asım Kocataş yemek sonrası yaptığı konuşmada, “Aramızdan ayrılan değerli personellerimize okumuza gösterdikleri katkıdan dolayı çok teşekkür ediyorum.","	okul müdürü asım kocataş yemek sonrası yaptığı konuşmada,aramızdan ayrılan değerli personellerimize okumuza gösterdikleri katkıdan dolayıok teşekkür ediyorum.",159,17,"684021        Okul Müdürü Asım Kocataş yemek sonrası yaptığı konuşmada, “[PET_BOUNDARY]Aramızdan ayrılan[PET_BOUNDARY] değerli personellerimize okumuza gösterdikleri katkıdan dolayı çok teşekkür ediyorum.",0,sometimes_euph
1686,1687,gaz çıkarmak,gaz çıkarmak,bodily functions,bir hastalık sonucu oluşan sürekli gaz çıkarmak ve karın ağrısı nedenlerini doğru olarak teşhis eder. Sürekli gaz çıkarmak iyi midir sorusuna verilen yanıtlar kimi zaman olumlu olurken kimi zaman ise olumsuz olur. Eğer ki gaz çıkarımı ağrılı,bir hastalık sonucu oluşan sürekli gaz çıkarmak ve karın ağrısı nedenlerini doğru olarak teşhis eder sürekli gaz çıkarmak iyi midir sorusuna verilen yanıtlar kimi zaman olumlu olurken kimi zaman ise olumsuz olur eğer ki gaz çıkarımı ağrılı,241,37,bir hastalık sonucu oluşan sürekli gaz çıkarmak ve karın ağrısı nedenlerini doğru olarak teşhis eder. Sürekli [PET_BOUNDARY]gaz çıkarmak[PET_BOUNDARY] iyi midir sorusuna verilen yanıtlar kimi zaman olumlu olurken kimi zaman ise olumsuz olur. Eğer ki gaz çıkarımı ağrılı,1,sometimes_euph
2396,2397,düşük gelirli,düşük gelirli,employment/finances,"almıyorsanız zarar ettiğinizi düşünebilirsiniz. Harcamalarınızı yüksek gelirli dönemlere göre yapıyorsanız düşük gelirli dönemlerde maddi zorluklar yaşayabilirsiniz. Yüksek Vergi, Hesapta Olmayan Giderler, Sigorta ve Emeklilik Maaşlı",almıyorsanız zarar ettiğinizi düşünebilirsiniz harcamalarınızı yüksek gelirli dönemlere göre yapıyorsanız düşük gelirli dönemlerde maddi zorluklar yaşayabilirsiniz yüksek vergi hesapta olmayan giderler sigorta ve emeklilik maaşlı,233,25,"almıyorsanız zarar ettiğinizi düşünebilirsiniz. Harcamalarınızı yüksek gelirli dönemlere göre yapıyorsanız [PET_BOUNDARY]düşük gelirli[PET_BOUNDARY] dönemlerde maddi zorluklar yaşayabilirsiniz. Yüksek Vergi, Hesapta Olmayan Giderler, Sigorta ve Emeklilik Maaşlı",0,sometimes_euph
77,78,beklemek,beklendiğini,bodily functions,"Beşiktaş Teknik Direktörü Şenol Güneş, yarın saat 12.00'de Ümraniye'deki BJK Nevzat Demir Tesisleri'nde basın toplantısı yapacağını açıkladı. Dün yayıncı kuruluşa konuşan ve yönetimi epey eleştiren Güneş'e yakın çevreler, deneyimli hocanın göreve devam edip etmeme konusunda bir açıklama yapmasının beklendiğini ifade ettiler.","beşiktaş teknik direktörü şenol güneş, yarın saat 12.00'de ümraniye'deki bjk nevzat demir tesisleri'nde basın toplantısı yapacağını açıkladı. dün yayıncı kuruluşa konuşan ve yönetimi epey eleştiren güneş'e yakın çevreler, deneyimli hocanın göreve devam edip etmeme konusunda bir açıklama yapmasının beklendiğini ifade ettiler.",326,41,"Beşiktaş Teknik Direktörü Şenol Güneş, yarın saat 12.00'de Ümraniye'deki BJK Nevzat Demir Tesisleri'nde basın toplantısı yapacağını açıkladı. Dün yayıncı kuruluşa konuşan ve yönetimi epey eleştiren Güneş'e yakın çevreler, deneyimli hocanın göreve devam edip etmeme konusunda bir açıklama yapmasının [PET_BOUNDARY]beklendiğini[PET_BOUNDARY] ifade ettiler.",0,sometimes_euph
1234,1235,dört kollu,dört kollu,death,"bireyler olabilme yeteneği, herkes için insani gelişmenin temelidir. Rapor insani gelişmeye ulaşmak için dört kollu bir politika önermesinde bulunuyor. Bunlar; dışlanmışlara ulaşmak için evrensel politikalar geliştirmek; özel",bireyler olabilme yeteneği herkes için insani gelişmenin temelidir rapor insani gelişmeye ulaşmak için dört kollu bir politika önermesinde bulunuyor bunlar dışlanmışlara ulaşmak için evrensel politikalar geliştirmek özel,225,27,"bireyler olabilme yeteneği, herkes için insani gelişmenin temelidir. Rapor insani gelişmeye ulaşmak için [PET_BOUNDARY]dört kollu[PET_BOUNDARY] bir politika önermesinde bulunuyor. Bunlar; dışlanmışlara ulaşmak için evrensel politikalar geliştirmek; özel",0,sometimes_euph
569,570,kaybetmek,kaybetti,death,"Şanlıurfa'nın Ceylanpınar ilçesinde iki polis memurunun evlerinde ölü bulunması haberi üzerine lira ve borsa değer kaybetti. Sabah açılışta 2.68 lira dolayında hareket eden dolar, haberin ardından 2.71 lirayı da aşarak 2.7125 liraya kadar tırmandı. Aynı haber Borsa İstanbul'da da hisse senetlerine satış getirdi ve Endeks'teki kayıplar yüzde 1.0 düzeyini aştı. Borsa İstanbul Endeksi 81 bin 031 puana kadar geriled","şanlıurfa'nın ceylanpınar ilçesinde iki polis memurunun evlerinde ölü bulunması haberi üzerine lira ve borsa değer kaybetti. sabah açılışta 2.68 lira dolayında hareket eden dolar, haberin ardından 2.71 lirayı da aşarak 2.7125 liraya kadar tırmandı. aynı haber borsa i̇stanbul'da da hisse senetlerine satış getirdi ve endeks'teki kayıplar yüzde 1.0 düzeyini aştı. borsa i̇stanbul endeksi 81 bin 031 puana kadar geriled",417,59,"Şanlıurfa'nın Ceylanpınar ilçesinde iki polis memurunun evlerinde ölü bulunması haberi üzerine lira ve borsa değer [PET_BOUNDARY]kaybetti[PET_BOUNDARY]. Sabah açılışta 2.68 lira dolayında hareket eden dolar, haberin ardından 2.71 lirayı da aşarak 2.7125 liraya kadar tırmandı. Aynı haber Borsa İstanbul'da da hisse senetlerine satış getirdi ve Endeks'teki kayıplar yüzde 1.0 düzeyini aştı. Borsa İstanbul Endeksi 81 bin 031 puana kadar geriled",0,sometimes_euph
73,74,beklemek,bekliyor,bodily functions,"Haberin diğer fotoğrafları için tıklayın 2012 yılında kendisinden 9 yaş küçük iş adamı Wissam Al Mana ile evlenen Janet Jackson, şu an bebek bekliyor. 7 aylık hamile olan 50 yaşındaki Janet'ın hamilelikte bir hayli kilo alması dikkati çekti.","haberin diğer fotoğrafları için tıklayın 2012 yılında kendisinden 9 yaş küçük iş adamı wissam al mana ile evlenen janet jackson, şu an bebek bekliyor. 7 aylık hamile olan 50 yaşındaki janet'ın hamilelikte bir hayli kilo alması dikkati çekti.",241,38,"Haberin diğer fotoğrafları için tıklayın 2012 yılında kendisinden 9 yaş küçük iş adamı Wissam Al Mana ile evlenen Janet Jackson, şu an bebek [PET_BOUNDARY]bekliyor[PET_BOUNDARY]. 7 aylık hamile olan 50 yaşındaki Janet'ın hamilelikte bir hayli kilo alması dikkati çekti.",1,sometimes_euph
1836,1837,son yolculuk,son yolculuk,death,"karşı bu çalışmaları korumak amacıyla kurulan güvenlik ekibinin bir üyesi olmuştu. Şöyle diyordu: Tanrım! O son yolculuk gerçekten de insanın gözünü açacak türdendi. Cakarta ışıltılı gökdelenleri, lüks otelleriyle gerçekten de modern",karşı bu çalışmaları korumak amacıyla kurulan güvenlik ekibinin bir üyesi olmuştu şöyle diyordu tanrım o son yolculuk gerçekten de insanın gözünü açacak türdendi cakarta ışıltılı gökdelenleri lüks otelleriyle gerçekten de modern,233,31,"karşı bu çalışmaları korumak amacıyla kurulan güvenlik ekibinin bir üyesi olmuştu. Şöyle diyordu: Tanrım! O [PET_BOUNDARY]son yolculuk[PET_BOUNDARY] gerçekten de insanın gözünü açacak türdendi. Cakarta ışıltılı gökdelenleri, lüks otelleriyle gerçekten de modern",0,sometimes_euph
1561,1562,abdest bozmak,abdest bozulur,bodily functions,"hazırlanırken, şeyhlerin, mürşitlerin, gavsların önderliğinde öbür dünyaya yatırım yapılan, ""kıç yıkanınca abdest bozulur mu? "" sorusuna yanıtlar arayan bu güzelim ülkenin halin'olur sizce? Charles Darwin der ki: ""Seni cennet vaadiyle",hazırlanırken şeyhlerin mürşitlerin gavsların önderliğinde öbür dünyaya yatırım yapılan kıç yıkanınca abdest bozulur mu  sorusuna yanıtlar arayan bu güzelim ülkenin halinolur sizce charles darwin der ki seni cennet vaadiyle,234,30,"hazırlanırken, şeyhlerin, mürşitlerin, gavsların önderliğinde öbür dünyaya yatırım yapılan, ""kıç yıkanınca [PET_BOUNDARY]abdest bozulur[PET_BOUNDARY] mu? "" sorusuna yanıtlar arayan bu güzelim ülkenin halin'olur sizce? Charles Darwin der ki: ""Seni cennet vaadiyle",0,sometimes_euph
1973,1974,eli sıkı,eli sıkıdır,physical/mental attributes,"KALAN) MAĞDUR Ev yaşamından hoşlanır, ailesi ile yakın ilişki içindedir. - Çekingen, içedönük, endişeli, pasif, eli sıkıdır . Başkalarına az ilgi gösterir ve iletişim becerileri zayıftır. Sosyal olarak duyarsızdır, sosyal becerileri",kalan mağdur ev yaşamından hoşlanır ailesi ile yakın ilişki içindedir  çekingen içedönük endişeli pasif eli sıkıdır  başkalarına az ilgi gösterir ve iletişim becerileri zayıftır sosyal olarak duyarsızdır sosyal becerileri,232,31,"KALAN) MAĞDUR Ev yaşamından hoşlanır, ailesi ile yakın ilişki içindedir. - Çekingen, içedönük, endişeli, pasif, [PET_BOUNDARY]eli sıkıdır[PET_BOUNDARY]. Başkalarına az ilgi gösterir ve iletişim becerileri zayıftır. Sosyal olarak duyarsızdır, sosyal becerileri",1,sometimes_euph
65,66,aybaşı,aybaşında,bodily functions,Yeni biletlerin ilk çekiliş tarihi de 9 Mayıs olarak belirlendi  ve bu biletlerin aybaşında satışa sunulacağını ifade edildi .,yeni biletlerin ilkekiliş tarihi de  mayıs olarak belirlendi  ve bu biletlerin aybaşında satışa sunulacağını ifade edildi,121,16,Yeni biletlerin ilk çekiliş tarihi de 9 Mayıs olarak belirlendi  ve bu biletlerin [PET_BOUNDARY]aybaşında[PET_BOUNDARY] satışa sunulacağını ifade edildi.,0,sometimes_euph
1399,1400,iyi saatte olsunlar,iyi saatte olsunlara,misc.,"vakti leylim – leylim, Cellat nişangahlar aynasındasın, Oy sevmişem ben seni. Leylâcığım. Gene suskunluklara, iyi saatte olsunlara karıştın! Öyledir kafir dünya. Biraz erincimiz, biraz günlük gecelik can avuntumuz oldu mu, unutuveririz dostu,",vakti leylim  leylim cellat nişangahlar aynasındasın oy sevmişem ben seni leylcığım gene suskunluklara iyi saatte olsunlara karıştın öyledir kafir dünya biraz erincimiz biraz günlük gecelik can avuntumuz oldu mu unutuveririz dostu,242,32,"vakti leylim – leylim, Cellat nişangahlar aynasındasın, Oy sevmişem ben seni. Leylâcığım. Gene suskunluklara, [PET_BOUNDARY]iyi saatte olsunlara[PET_BOUNDARY] karıştın! Öyledir kafir dünya. Biraz erincimiz, biraz günlük gecelik can avuntumuz oldu mu, unutuveririz dostu,",1,sometimes_euph
1324,1325,iki canlı,iki canlısın,bodily functions,"olan boğuşmanız, acı tatlı ama ömrünüzün en güzel günleri... Hamile kaldığınızı öğrendiğiniz günden itibaren, "" iki canlısın , ye sen ye.. "" ısrarları, artan kilolarınızın verdiği can sıkıntısı... Bunların hepsi bir ağlama sesiyle aklınızdan",olan boğuşmanız acı tatlı ama ömrünüzün en güzel günleri hamile kaldığınızı öğrendiğiniz günden itibaren  iki canlısın  ye sen ye  ısrarları artan kilolarınızın verdiği can sıkıntısı bunların hepsi bir ağlama sesiyle aklınızdan,241,34,"olan boğuşmanız, acı tatlı ama ömrünüzün en güzel günleri... Hamile kaldığınızı öğrendiğiniz günden itibaren, "" [PET_BOUNDARY]iki canlısın[PET_BOUNDARY] , ye sen ye.. "" ısrarları, artan kilolarınızın verdiği can sıkıntısı... Bunların hepsi bir ağlama sesiyle aklınızdan",1,sometimes_euph
2170,2171,tahrik etmek,tahrik ettiğine,sexual activity,"MÜMKÜN DEĞİL"" Dernek dilekçesinde, şehitlerimize hakaret edildiği gerekçe gösterilerek, kişinin Türk halkını tahrik ettiğine dikkat çekildi. FETÖ kurmaca operasyonla HSK'ya sızmaya çalışmış İzmir'in Bornova ilçesinde, 2012 yılında FETÖ",mümkün değil dernek dilekçesinde şehitlerimize hakaret edildiği gerekçe gösterilerek kişinin türk halkını tahrik ettiğine dikkat çekildi fetö kurmaca operasyonla hskya sızmaya çalışmış izmirin bornova ilçesinde  yılında fetö,235,28,"MÜMKÜN DEĞİL"" Dernek dilekçesinde, şehitlerimize hakaret edildiği gerekçe gösterilerek, kişinin Türk halkını [PET_BOUNDARY]tahrik ettiğine[PET_BOUNDARY] dikkat çekildi. FETÖ kurmaca operasyonla HSK'ya sızmaya çalışmış İzmir'in Bornova ilçesinde, 2012 yılında FETÖ",0,sometimes_euph
